game_id,source,source_title,confidence_score,matched_by
dark_souls_ii_crown_of_the_sunken_king,metacritic,Dark Souls II: Crown of the Sunken King,100,exact_title_platform_year
dead_rising_2_off_the_record,vgsales,Dead Rising 2: Off the Record,100,exact_title_platform_year
clockwork_tales_of_glass_and_ink,metacritic,Clockwork Tales: Of Glass and Ink,100,exact_title_platform_year
cloudberry_kingdom,metacritic,Cloudberry Kingdom,100,exact_title_platform_year
cloudberry_kingdom,metacritic,Cloudberry Kingdom,100,exact_title_platform_year
cloudy_with_a_chance_of_meatballs,vgsales,Cloudy With a Chance of Meatballs,100,exact_title_platform_year
cloudy_with_a_chance_of_meatballs,vgsales,Cloudy With a Chance of Meatballs,100,exact_title_platform_year
dante_s_inferno,vgsales,Dante's Inferno,100,exact_title_platform_year
clustertruck,metacritic,ClusterTruck,100,exact_title_platform_year
darius_cozmic_collection_arcade,metacritic,Darius Cozmic Collection: Arcade,100,exact_title_platform_year
dead_rising_4,metacritic,Dead Rising 4,100,exact_title_platform_year
dead_rising_4,metacritic,Dead Rising 4,100,exact_title_platform_year
dead_rising_chop_till_you_drop,metacritic,Dead Rising: Chop Till You Drop,100,exact_title_platform_year
dead_space_3_awakened,metacritic,Dead Space 3: Awakened,100,exact_title_platform_year
dead_space_ignition,metacritic,Dead Space Ignition,100,exact_title_platform_year
code_of_princess,vgsales,Code of Princess,100,exact_title_platform_year
daredevil,metacritic,Daredevil,100,exact_title_platform_year
dead_synchronicity_tomorrow_comes_today,metacritic,Dead Synchronicity: Tomorrow Comes Today,100,exact_title_platform_year
dead_to_rights,vgsales,Dead to Rights,100,exact_title_platform_year
dead_to_rights_ii,vgsales,Dead to Rights II,100,exact_title_platform_year
dead_to_rights_reckoning,metacritic,Dead to Rights: Reckoning,100,exact_title_platform_year
dead_to_rights_retribution,vgsales,Dead to Rights: Retribution,100,exact_title_platform_year
deadfall_adventures,metacritic,Deadfall Adventures,100,exact_title_platform_year
darkest_of_days,vgsales,Darkest of Days,100,exact_title_platform_year
deadliest_warrior_the_game,metacritic,Deadliest Warrior: The Game,100,exact_title_platform_year
deadlight_director_s_cut,metacritic,Deadlight: Director's Cut,100,exact_title_platform_year
deadly_creatures,metacritic,Deadly Creatures,100,exact_title_platform_year
deadly_premonition_origins,metacritic,Deadly Premonition Origins,100,exact_title_platform_year
deadly_premonition_the_director_s_cut,metacritic,Deadly Premonition: The Director's Cut,100,exact_title_platform_year
deadpool,vgsales,Deadpool,100,exact_title_platform_year
deal_or_no_deal_special_edition,vgsales,Deal or No Deal: Special Edition,100,exact_title_platform_year
dear_esther_landmark_edition,metacritic,Dear Esther: Landmark Edition,100,exact_title_platform_year
death_by_degrees,vgsales,Death By Degrees,100,exact_title_platform_year
death_end_re_quest,metacritic,Death end re;Quest,100,exact_title_platform_year
death_jr,vgsales,Death Jr.,100,exact_title_platform_year
death_jr_ii_root_of_evil,vgsales,Death Jr. II: Root of Evil,100,exact_title_platform_year
death_s_gambit,metacritic,Death's Gambit,100,exact_title_platform_year
death_squared,metacritic,Death Squared,100,exact_title_platform_year
deathloop,metacritic,Deathloop,100,exact_title_platform_year
deathspank,metacritic,DeathSpank,100,exact_title_platform_year
deathtrap_dungeon,vgsales,Deathtrap Dungeon,100,exact_title_platform_year
deca_sports_2,metacritic,Deca Sports 2,100,exact_title_platform_year
deca_sports_3,vgsales,Deca Sports 3,100,exact_title_platform_year
commando_steel_disaster,vgsales,Commando: Steel Disaster,100,exact_title_platform_year
deca_sports_freedom,metacritic,Deca Sports Freedom,100,exact_title_platform_year
deception_iv_blood_ties,metacritic,Deception IV: Blood Ties,100,exact_title_platform_year
command_conquer_red_alert_retaliation,vgsales,Command & Conquer: Red Alert Retaliation,100,exact_title_platform_year
dark_void,metacritic,Dark Void,100,exact_title_platform_year
dedede_s_drum_dash_deluxe,metacritic,Dedede's Drum Dash Deluxe,100,exact_title_platform_year
deep_black_episode_1,metacritic,Deep Black: Episode 1,100,exact_title_platform_year
